CONSOLE MESSAGE: line 228: x: 0, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 16, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 32, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 48, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 64, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 80, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 96, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 112, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 128, y: 0, quality: high, premul: undefined, flip: true
CONSOLE MESSAGE: line 228: x: 144, y: 0, quality: high, premul: undefined, flip: true
CONSOLE MESSAGE: line 228: x: 160, y: 0, quality: high, premul: undefined, flip: true
CONSOLE MESSAGE: line 228: x: 176, y: 0, quality: high, premul: undefined, flip: true
CONSOLE MESSAGE: line 228: x: 192, y: 0, quality: high, premul: undefined, flip: true
CONSOLE MESSAGE: line 228: x: 208, y: 0, quality: high, premul: undefined, flip: true
CONSOLE MESSAGE: line 228: x: 224, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 240, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 256, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 272, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 288, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 304, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 320, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 336, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 352, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 368, y: 0, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 0, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 16, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 32, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 48, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 64, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 80, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 96, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 112, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 128, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 144, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 160, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 176, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 192, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 208, y: 16, quality: high, premul: undefined, flip: false
CONSOLE MESSAGE: line 228: x: 224, y: 16, quality: high, premul: undefined, flip: false
