Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 279.0985107421875

Log:
217.96599999993305 - runAnimationTest
220.47399999996742 - First webkitAnimationStart event fired
220.6899999999905 - Finished waiting for animations to start
221.05199999998604 - RAF callback, animation time: 0.275999999985288
221.5919999999869 - RAF callback, animation time: 0.5939999999782231
222.18599999996513 - RAF callback, animation time: 1.4670000000478467
223.30699999997705 - RAF callback, animation time: 2.5860000000648142
224.45999999990818 - RAF callback, animation time: 3.7419999999883657
225.56599999995797 - RAF callback, animation time: 4.84900000003563
226.67200000000776 - RAF callback, animation time: 5.955999999969208
227.78499999992619 - RAF callback, animation time: 7.068000000003849
228.8819999999987 - RAF callback, animation time: 8.16599999996015
230.02499999995507 - RAF callback, animation time: 9.306000000037784
231.12499999990632 - RAF callback, animation time: 10.40899999998146
232.2389999999359 - RAF callback, animation time: 11.523000000011052
233.34399999998823 - RAF callback, animation time: 12.627000000065891
234.44799999992938 - RAF callback, animation time: 13.731000000007043
235.5529999999817 - RAF callback, animation time: 14.837000000056833
236.66399999990517 - RAF callback, animation time: 15.947999999980311
237.76699999996254 - RAF callback, animation time: 17.05200000003515
238.87299999989864 - RAF callback, animation time: 18.156999999973777
239.975999999956 - RAF callback, animation time: 19.261000000028616
241.08300000000327 - RAF callback, animation time: 20.36699999996472
242.18599999994694 - RAF callback, animation time: 21.469000000024607
243.2890000000043 - RAF callback, animation time: 22.57299999996576
244.4189999999935 - RAF callback, animation time: 23.6810000000105
245.5009999999902 - RAF callback, animation time: 24.785000000065338
246.60499999993135 - RAF callback, animation time: 25.88900000000649
247.7089999999862 - RAF callback, animation time: 26.99300000006133
248.80999999993492 - RAF callback, animation time: 28.094000000010055
249.91899999997713 - RAF callback, animation time: 29.20300000005227
251.02699999990818 - RAF callback, animation time: 30.310999999983324
252.1319999999605 - RAF callback, animation time: 31.416000000035638
253.23299999990923 - RAF callback, animation time: 32.516999999984364
254.33899999995901 - RAF callback, animation time: 33.62300000003415
255.4450000000088 - RAF callback, animation time: 34.728999999970256
256.54499999996005 - RAF callback, animation time: 35.829000000035194
257.65100000000984 - RAF callback, animation time: 36.934999999971296
258.7709999999106 - RAF callback, animation time: 38.05499999998574
259.8639999999932 - RAF callback, animation time: 39.14799999995466
260.9749999999167 - RAF callback, animation time: 40.25899999999183
262.0879999999488 - RAF callback, animation time: 41.372000000023945
263.2029999999759 - RAF callback, animation time: 42.48600000005354
264.32599999998274 - RAF callback, animation time: 43.61000000005788
265.43499999991127 - RAF callback, animation time: 44.71899999998641
266.5549999999257 - RAF callback, animation time: 45.83900000000085
267.6659999999629 - RAF callback, animation time: 46.95000000003802
268.7779999999975 - RAF callback, animation time: 48.06199999995897
269.9010000000044 - RAF callback, animation time: 49.185999999963315
271.0219999999026 - RAF callback, animation time: 50.30699999997523
272.1369999999297 - RAF callback, animation time: 51.4220000000023
273.25599999994665 - RAF callback, animation time: 52.54000000002179
274.38199999994595 - RAF callback, animation time: 53.66300000002866
275.50399999995534 - RAF callback, animation time: 54.78800000003048
276.61299999999756 - RAF callback, animation time: 55.89799999995648
277.7340000000095 - RAF callback, animation time: 57.0189999999684
278.8509999999178 - RAF callback, animation time: 58.13599999999042
279.95999999996 - RAF callback, animation time: 59.24500000003263
281.06800000000476 - RAF callback, animation time: 60.35199999996621
282.1809999999232 - RAF callback, animation time: 61.46499999999833
283.31299999990733 - RAF callback, animation time: 62.59499999998752
284.50899999995727 - RAF callback, animation time: 63.79200000003493
285.6610000000046 - RAF callback, animation time: 64.94399999996858
286.7679999999382 - RAF callback, animation time: 66.05100000001585
287.87499999998545 - RAF callback, animation time: 67.15900000006059
288.9859999999089 - RAF callback, animation time: 68.26000000000931
290.0809999999865 - RAF callback, animation time: 69.36500000006163
291.19199999990997 - RAF callback, animation time: 70.4759999999851
292.30199999994966 - RAF callback, animation time: 71.5860000000248
293.4179999999742 - RAF callback, animation time: 72.70200000004934
294.52199999991535 - RAF callback, animation time: 73.80699999998797
295.6259999999702 - RAF callback, animation time: 74.9110000000428
296.7269999999189 - RAF callback, animation time: 76.01099999999406
297.83199999997123 - RAF callback, animation time: 77.11600000004637
298.9349999999149 - RAF callback, animation time: 78.21999999998752
300.04699999994955 - RAF callback, animation time: 79.33100000002469
301.24899999998433 - RAF callback, animation time: 80.53300000005947
302.26999999990767 - RAF callback, animation time: 81.5539999999828
303.9539999999761 - RAF callback, animation time: 83.23700000005374
305.07999999997537 - RAF callback, animation time: 84.36300000005303
306.1859999999115 - RAF callback, animation time: 85.46999999998661
307.30099999993854 - RAF callback, animation time: 86.58500000001368
308.5949999999684 - RAF callback, animation time: 87.87900000004356
309.7050000000081 - RAF callback, animation time: 88.98999999996704
310.8869999999797 - RAF callback, animation time: 90.17000000005737
312.13499999989835 - RAF callback, animation time: 91.41699999997854
313.53599999999915 - RAF callback, animation time: 92.8199999999606
314.6479999999201 - RAF callback, animation time: 93.93199999999524
315.7539999999699 - RAF callback, animation time: 95.03800000004503
316.86999999999443 - RAF callback, animation time: 96.15299999995841
