Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
17.170999999962078 - runAnimationTest
19.709999999918182 - First webkitAnimationStart event fired
19.780999999966298 - Finished waiting for animations to start
19.884999999931097 - RAF callback, animation time: 0.06700000005821494
20.097999999961758 - RAF callback, animation time: 0.275999999985288
20.608999999922162 - RAF callback, animation time: 0.7940000000417058
21.74999999999727 - RAF callback, animation time: 1.9340000000056534
22.89599999994607 - RAF callback, animation time: 3.0669999999872744
24.017999999955464 - RAF callback, animation time: 4.202000000077533
25.152999999932035 - RAF callback, animation time: 5.338000000051579
26.287999999908607 - RAF callback, animation time: 6.473000000028151
27.420999999890228 - RAF callback, animation time: 7.606000000009772
28.553999999985535 - RAF callback, animation time: 8.738999999991393
29.686999999967156 - RAF callback, animation time: 9.873000000084176
30.818999999951302 - RAF callback, animation time: 11.005000000068321
31.951999999932923 - RAF callback, animation time: 12.138000000049942
33.08299999991959 - RAF callback, animation time: 13.268000000039137
34.19099999996433 - RAF callback, animation time: 14.377000000081352
35.32299999994848 - RAF callback, animation time: 15.509000000065498
36.4559999999301 - RAF callback, animation time: 16.641000000049644
37.589999999909196 - RAF callback, animation time: 17.77500000002874
38.72199999989334 - RAF callback, animation time: 18.907000000012886
39.87099999994825 - RAF callback, animation time: 20.056000000067797
41.0029999999324 - RAF callback, animation time: 21.188000000051943
42.16899999994439 - RAF callback, animation time: 22.354000000063934
43.298999999933585 - RAF callback, animation time: 23.48400000005313
44.44099999989248 - RAF callback, animation time: 24.626000000012027
45.570999999995365 - RAF callback, animation time: 25.756999999998698
46.70299999997951 - RAF callback, animation time: 26.887999999985368
47.83399999996618 - RAF callback, animation time: 28.0200000000832
48.98199999990993 - RAF callback, animation time: 29.166000000032
50.15199999991182 - RAF callback, animation time: 30.33600000003389
51.28999999999451 - RAF callback, animation time: 31.475000000000364
52.42599999996855 - RAF callback, animation time: 32.6110000000881
53.556999999955224 - RAF callback, animation time: 33.74100000007729
54.72999999994954 - RAF callback, animation time: 34.91000000008171
55.84799999996903 - RAF callback, animation time: 36.03300000008858
56.97999999995318 - RAF callback, animation time: 37.16500000007272
58.169999999904576 - RAF callback, animation time: 38.35500000002412
59.31599999996706 - RAF callback, animation time: 39.501000000086606
60.45799999992596 - RAF callback, animation time: 40.643000000045504
61.59499999989748 - RAF callback, animation time: 41.780000000017026
