Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "test" element at 0.2s expected: 100 but saw: 500.98870849609375

Log:
20.601999999939835 - runAnimationTest
22.61199999998098 - First webkitAnimationStart event fired
22.708999999963453 - Finished waiting for animations to start
22.822999999903004 - RAF callback, animation time: 0.07200000004559115
22.8669999999056 - Running checks for time: 0, delay: 0.07200000004559115
23.202999999966778 - RAF callback, animation time: 0.46200000008411735
23.723999999901935 - RAF callback, animation time: 0.9820000000217988
24.862999999982094 - RAF callback, animation time: 2.1219999999857464
26.00099999995109 - RAF callback, animation time: 3.259000000070955
27.133999999932712 - RAF callback, animation time: 4.393000000050051
28.265999999916858 - RAF callback, animation time: 5.5230000000392465
29.395999999906053 - RAF callback, animation time: 6.655000000023392
30.528000000003885 - RAF callback, animation time: 7.787000000007538
31.617999999980384 - RAF callback, animation time: 8.876999999984037
32.74999999996453 - RAF callback, animation time: 10.008000000084394
33.908999999994194 - RAF callback, animation time: 11.167999999997846
35.02800000001116 - RAF callback, animation time: 12.286000000017339
36.14799999991192 - RAF callback, animation time: 13.406000000031781
37.279000000012275 - RAF callback, animation time: 14.538000000015927
38.40900000000147 - RAF callback, animation time: 15.668000000005122
39.57199999990735 - RAF callback, animation time: 16.830000000027212
40.70200000001023 - RAF callback, animation time: 17.961000000013883
41.831999999999425 - RAF callback, animation time: 19.090000000005602
42.960999999991145 - RAF callback, animation time: 20.219999999994798
44.10099999995509 - RAF callback, animation time: 21.359000000074957
45.218999999974585 - RAF callback, animation time: 22.476999999980762
46.349999999961256 - RAF callback, animation time: 23.609000000078595
47.5179999999682 - RAF callback, animation time: 24.740000000065265
48.611999999934596 - RAF callback, animation time: 25.871000000051936
49.74299999992127 - RAF callback, animation time: 27.00100000004113
50.87399999990794 - RAF callback, animation time: 28.133000000025277
51.996999999914806 - RAF callback, animation time: 29.256000000032145
53.126999999904 - RAF callback, animation time: 30.38600000002134
54.27399999996396 - RAF callback, animation time: 31.51700000000801
55.39099999998598 - RAF callback, animation time: 32.64899999999216
