Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
21.310000000084983 - runAnimationTest
23.797000000058688 - First webkitAnimationStart event fired
23.85500000002594 - Finished waiting for animations to start
23.913999999990665 - RAF callback, animation time: 0.045999999997548
24.082000000021253 - RAF callback, animation time: 0.2060000000483342
24.577000000022053 - RAF callback, animation time: 0.7090000000289365
25.824000000056913 - RAF callback, animation time: 1.9550000000663204
26.940000000081454 - RAF callback, animation time: 3.071000000090862
28.05200000000241 - RAF callback, animation time: 4.185000000006767
29.247000000054868 - RAF callback, animation time: 5.380000000059226
30.29900000001362 - RAF callback, animation time: 6.431000000020504
31.40500000006341 - RAF callback, animation time: 7.537000000070293
32.54300000003241 - RAF callback, animation time: 8.674000000041815
33.6730000000216 - RAF callback, animation time: 9.805000000028485
34.78600000005372 - RAF callback, animation time: 10.917000000063126
35.90200000007826 - RAF callback, animation time: 12.033000000087668
37.2300000000223 - RAF callback, animation time: 13.362000000029184
38.44600000002174 - RAF callback, animation time: 14.575000000036198
39.61200000003373 - RAF callback, animation time: 15.74300000004314
40.81700000006094 - RAF callback, animation time: 16.94800000007035
42.1120000000883 - RAF callback, animation time: 18.241999999986547
43.234000000097694 - RAF callback, animation time: 19.364999999993415
44.349000000011074 - RAF callback, animation time: 20.481000000017957
45.47200000001794 - RAF callback, animation time: 21.60300000002735
46.82100000002265 - RAF callback, animation time: 22.952000000032058
47.9569999999967 - RAF callback, animation time: 24.088000000006105
49.109000000044034 - RAF callback, animation time: 25.241000000050917
50.360000000068794 - RAF callback, animation time: 26.491000000078202
51.34400000008554 - RAF callback, animation time: 27.4770000000899
52.442000000041844 - RAF callback, animation time: 28.575000000046202
53.538000000003194 - RAF callback, animation time: 29.671000000007552
54.65800000001764 - RAF callback, animation time: 30.789000000027045
55.758000000082575 - RAF callback, animation time: 31.890000000089458
56.872999999995955 - RAF callback, animation time: 33.00500000000284
57.985000000030595 - RAF callback, animation time: 34.11600000004
59.09200000007786 - RAF callback, animation time: 35.22400000008474
60.20900000009988 - RAF callback, animation time: 36.34099999999307
61.552000000006046 - RAF callback, animation time: 37.683000000015454
62.98600000002352 - RAF callback, animation time: 39.11700000003293
66.59000000001924 - RAF callback, animation time: 42.7150000000438
67.80500000002121 - RAF callback, animation time: 43.93600000003062
68.92000000004828 - RAF callback, animation time: 45.05000000006021
70.03600000007282 - RAF callback, animation time: 46.165000000087275
71.15800000008221 - RAF callback, animation time: 47.288000000094144
72.25900000003094 - RAF callback, animation time: 48.39100000003782
73.36500000008073 - RAF callback, animation time: 49.498000000085085
74.4600000000446 - RAF callback, animation time: 50.59300000004896
75.57200000007924 - RAF callback, animation time: 51.7050000000836
86.80200000003424 - RAF callback, animation time: 62.92000000007647
87.85900000009406 - RAF callback, animation time: 63.99099999998725
89.00900000003276 - RAF callback, animation time: 65.13800000004721
90.11900000007245 - RAF callback, animation time: 66.24900000008438
91.25300000005154 - RAF callback, animation time: 67.382000000066
92.36000000009881 - RAF callback, animation time: 68.48899999999958
93.50800000004256 - RAF callback, animation time: 69.64000000004944
97.19700000005105 - RAF callback, animation time: 73.3260000000655
98.27800000005027 - RAF callback, animation time: 74.41100000005463
99.46999999999662 - RAF callback, animation time: 75.59900000001107
100.6320000000187 - RAF callback, animation time: 76.76200000003064
102.2970000000214 - RAF callback, animation time: 78.42600000003586
103.09300000005805 - RAF callback, animation time: 79.22600000006241
104.20700000008765 - RAF callback, animation time: 80.33799999998337
105.33100000009199 - RAF callback, animation time: 81.46299999998519
106.44000000002052 - RAF callback, animation time: 82.57100000002993
107.54700000006778 - RAF callback, animation time: 83.67800000007719
108.64700000001903 - RAF callback, animation time: 84.78100000002087
109.73799999999301 - RAF callback, animation time: 85.87099999999737
110.87200000008579 - RAF callback, animation time: 87.00400000009267
111.92100000005212 - RAF callback, animation time: 88.05500000005395
113.03500000008171 - RAF callback, animation time: 89.16700000008859
114.24400000009882 - RAF callback, animation time: 90.37399999999707
115.3070000000298 - RAF callback, animation time: 91.43900000003669
116.4210000000594 - RAF callback, animation time: 92.5520000000688
117.55200000004606 - RAF callback, animation time: 93.68400000005295
118.66900000006808 - RAF callback, animation time: 94.79900000008001
119.78700000008757 - RAF callback, animation time: 95.91900000009446
121.42900000003465 - RAF callback, animation time: 97.56100000004153
122.53900000007434 - RAF callback, animation time: 98.6720000000787
123.6580000000913 - RAF callback, animation time: 99.7899999999845
124.77000000001226 - RAF callback, animation time: 100.90200000001914
125.87600000006205 - RAF callback, animation time: 102.00700000007146
126.97900000000573 - RAF callback, animation time: 103.11100000001261
128.0900000000429 - RAF callback, animation time: 104.2210000000523
129.2070000000649 - RAF callback, animation time: 105.33900000007179
130.3050000000212 - RAF callback, animation time: 106.43700000002809
131.45600000007107 - RAF callback, animation time: 107.58800000007795
132.56599999999708 - RAF callback, animation time: 108.69800000000396
133.89900000004218 - RAF callback, animation time: 110.03000000005159
135.07400000003145 - RAF callback, animation time: 111.2070000000358
137.3399999999947 - RAF callback, animation time: 113.46900000000915
138.44700000004195 - RAF callback, animation time: 114.57000000007156
140.81900000007863 - RAF callback, animation time: 116.94499999998698
141.88100000001214 - RAF callback, animation time: 118.01200000002154
143.0200000000923 - RAF callback, animation time: 119.14899999999307
144.17500000001837 - RAF callback, animation time: 120.3050000000303
145.22500000009586 - RAF callback, animation time: 121.35599999999158
146.34000000000924 - RAF callback, animation time: 122.47200000001612
147.82999999999902 - RAF callback, animation time: 123.9620000000059
148.94300000003113 - RAF callback, animation time: 125.07500000003802
150.05900000005568 - RAF callback, animation time: 126.19100000006256
151.2590000000955 - RAF callback, animation time: 127.38600000000133
152.3740000000089 - RAF callback, animation time: 128.50400000002082
153.48800000003848 - RAF callback, animation time: 129.6190000000479
154.60200000006807 - RAF callback, animation time: 130.73200000008
155.71400000010271 - RAF callback, animation time: 131.8459999999959
156.93100000009963 - RAF callback, animation time: 133.06099999999788
158.03600000003826 - RAF callback, animation time: 134.16800000004514
159.14900000007037 - RAF callback, animation time: 135.28000000007978
160.3620000000774 - RAF callback, animation time: 136.49400000008427
161.68100000004415 - RAF callback, animation time: 137.81200000005356
162.88300000007894 - RAF callback, animation time: 139.01400000008834
163.99400000000242 - RAF callback, animation time: 140.12400000001435
165.10500000003958 - RAF callback, animation time: 141.23800000004394
166.21900000006917 - RAF callback, animation time: 142.35200000007353
167.33800000008614 - RAF callback, animation time: 143.47000000009302
168.44300000002477 - RAF callback, animation time: 144.57500000003165
169.80900000010024 - RAF callback, animation time: 145.93999999999596
171.3520000000699 - RAF callback, animation time: 147.48400000007678
172.6380000000063 - RAF callback, animation time: 148.77100000001064
173.72199999999793 - RAF callback, animation time: 149.85599999999977
174.99100000009093 - RAF callback, animation time: 151.1240000000953
176.17700000005243 - RAF callback, animation time: 152.30700000006436
177.28199999999106 - RAF callback, animation time: 153.41399999999794
178.38400000005095 - RAF callback, animation time: 154.51600000005783
179.499000000078 - RAF callback, animation time: 155.6190000000015
180.59600000003684 - RAF callback, animation time: 156.72800000004372
181.6590000000815 - RAF callback, animation time: 157.7910000000884
182.76700000001256 - RAF callback, animation time: 158.89800000002197
183.87400000005982 - RAF callback, animation time: 160.00700000006418
184.9770000000035 - RAF callback, animation time: 161.10900000001038
186.70400000007703 - RAF callback, animation time: 162.45700000001762
187.64100000009876 - RAF callback, animation time: 163.64600000008522
188.6330000000953 - RAF callback, animation time: 164.7530000000188
189.72800000005918 - RAF callback, animation time: 165.86000000006607
190.84800000007363 - RAF callback, animation time: 166.9800000000805
191.9550000000072 - RAF callback, animation time: 168.0870000000141
193.0730000000267 - RAF callback, animation time: 169.20500000003358
194.18100000007144 - RAF callback, animation time: 170.31200000008084
195.29900000009093 - RAF callback, animation time: 171.43099999998412
196.40900000001693 - RAF callback, animation time: 172.54000000002634
197.92500000005475 - RAF callback, animation time: 174.05600000006416
199.02700000000095 - RAF callback, animation time: 175.1600000000053
200.15300000000025 - RAF callback, animation time: 176.28400000000966
201.26200000004246 - RAF callback, animation time: 177.39300000005187
202.6420000000826 - RAF callback, animation time: 178.773000000092
204.31500000006508 - RAF callback, animation time: 180.44400000007954
206.16600000005292 - RAF callback, animation time: 182.2940000000699
207.27099999999155 - RAF callback, animation time: 183.40200000000095
209.47900000010122 - RAF callback, animation time: 185.60700000000452
210.26000000006206 - RAF callback, animation time: 186.39100000007147
211.41399999999066 - RAF callback, animation time: 187.54699999999502
212.53899999999248 - RAF callback, animation time: 188.66900000000442
