Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "test" element at 0.2s expected: 100 but saw: 500.9978942871094

Log:
23.52799999994204 - runAnimationTest
25.62000000000353 - First webkitAnimationStart event fired
25.68599999995058 - Finished waiting for animations to start
25.759999999991123 - RAF callback, animation time: 0.048000000106185325
25.784999999928004 - Running checks for time: 0, delay: 0.048000000106185325
26.08799999995881 - RAF callback, animation time: 0.3720000000839718
26.551999999924192 - RAF callback, animation time: 0.8420000000342043
29.623000000015054 - RAF callback, animation time: 3.910000000018954
31.3059999999723 - RAF callback, animation time: 5.595000000084838
32.96299999999519 - RAF callback, animation time: 7.252000000107728
34.343999999919106 - RAF callback, animation time: 8.632000000034168
36.784000000011474 - RAF callback, animation time: 11.070000000017899
38.8149999999996 - RAF callback, animation time: 13.103000000000975
40.25400000000445 - RAF callback, animation time: 14.543000000003303
42.84499999994296 - RAF callback, animation time: 17.134000000055494
44.09999999995762 - RAF callback, animation time: 18.389000000070155
45.23499999993419 - RAF callback, animation time: 19.5250000000442
46.52499999997417 - RAF callback, animation time: 20.815000000084183
47.67699999990782 - RAF callback, animation time: 21.967000000017833
48.90100000000075 - RAF callback, animation time: 23.191000000110762
50.0569999999243 - RAF callback, animation time: 24.347000000034313
51.31199999993896 - RAF callback, animation time: 25.602000000048974
52.68799999998919 - RAF callback, animation time: 26.977000000101725
53.72499999998581 - RAF callback, animation time: 28.015000000095824
54.89999999997508 - RAF callback, animation time: 29.190000000085092
56.17999999992662 - RAF callback, animation time: 30.46900000003916
57.39999999991596 - RAF callback, animation time: 31.690000000025975
59.041999999976724 - RAF callback, animation time: 33.33100000008926
60.49699999994118 - RAF callback, animation time: 34.77800000007392
61.765999999920496 - RAF callback, animation time: 36.05600000003051
62.960999999972955 - RAF callback, animation time: 37.24600000009559
65.75199999997494 - RAF callback, animation time: 40.03500000010263
67.1709999999166 - RAF callback, animation time: 41.459000000031665
68.35899999998674 - RAF callback, animation time: 42.611000000079
69.47600000000875 - RAF callback, animation time: 43.76600000000508
70.6079999999929 - RAF callback, animation time: 44.89800000010291
71.87099999998736 - RAF callback, animation time: 46.1600000000999
73.01999999992859 - RAF callback, animation time: 47.3100000000386
74.28999999990538 - RAF callback, animation time: 48.58000000001539
75.93799999995099 - RAF callback, animation time: 50.228000000061
77.08999999999833 - RAF callback, animation time: 51.38000000010834
78.41699999994489 - RAF callback, animation time: 52.705000000059954
79.55499999991389 - RAF callback, animation time: 53.8450000000239
80.72099999992588 - RAF callback, animation time: 55.006000000048516
81.91799999997329 - RAF callback, animation time: 56.20600000008835
83.52400000001126 - RAF callback, animation time: 57.81200000001263
84.69099999990704 - RAF callback, animation time: 58.97200000003977
86.2849999999753 - RAF callback, animation time: 60.570000000097934
87.43299999991905 - RAF callback, animation time: 61.722000000031585
89.91099999991548 - RAF callback, animation time: 64.19700000003559
91.06399999996029 - RAF callback, animation time: 65.3540000000703
92.54599999997026 - RAF callback, animation time: 66.83400000008533
94.25099999998565 - RAF callback, animation time: 68.54000000009819
