Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
9.127000000034968 - runAnimationTest
10.711000000014792 - First webkitAnimationStart event fired
10.740000000055261 - Finished waiting for animations to start
10.77399999996942 - RAF callback, animation time: 0.02199999994445534
10.861999999974614 - RAF callback, animation time: 0.1059999999597494
11.718999999970947 - RAF callback, animation time: 0.965999999948508
12.823000000025786 - RAF callback, animation time: 2.070000000003347
13.908000000014908 - RAF callback, animation time: 3.1559999999899446
15.011000000072272 - RAF callback, animation time: 4.258999999933621
16.10300000004372 - RAF callback, animation time: 5.350000000021282
17.238000000020293 - RAF callback, animation time: 6.484999999997854
18.321000000014465 - RAF callback, animation time: 7.568999999989501
19.416999999975815 - RAF callback, animation time: 8.664999999950851
20.499999999969987 - RAF callback, animation time: 9.747999999945023
21.64200000004257 - RAF callback, animation time: 10.890000000017608
22.725000000036744 - RAF callback, animation time: 11.97300000001178
23.83199999997032 - RAF callback, animation time: 13.078999999947882
24.907999999982167 - RAF callback, animation time: 14.155999999957203
26.006000000052154 - RAF callback, animation time: 15.253000000029715
27.081000000066524 - RAF callback, animation time: 16.327999999930398
28.173000000037973 - RAF callback, animation time: 17.42100000001301
29.244000000062442 - RAF callback, animation time: 18.49200000003748
30.339000000026317 - RAF callback, animation time: 19.587000000001353
31.448000000068532 - RAF callback, animation time: 20.694999999932406
32.56399999997939 - RAF callback, animation time: 21.810999999956948
33.657000000062 - RAF callback, animation time: 22.905000000037035
34.75200000002587 - RAF callback, animation time: 23.999000000003434
35.86100000006809 - RAF callback, animation time: 25.108999999929438
36.96999999999662 - RAF callback, animation time: 26.217999999971653
38.09200000000601 - RAF callback, animation time: 27.33899999998357
39.182999999979984 - RAF callback, animation time: 28.43099999995502
40.326000000050044 - RAF callback, animation time: 29.573000000027605
41.45200000004934 - RAF callback, animation time: 30.700000000024374
42.604999999980464 - RAF callback, animation time: 31.8529999999555
43.73699999996461 - RAF callback, animation time: 32.984999999939646
44.89000000000942 - RAF callback, animation time: 34.13699999998698
45.978999999988446 - RAF callback, animation time: 35.22699999996348
47.11399999996502 - RAF callback, animation time: 36.36099999994258
48.179000000004635 - RAF callback, animation time: 37.425999999982196
49.306000000001404 - RAF callback, animation time: 38.55399999997644
50.37400000003345 - RAF callback, animation time: 39.622000000008484
51.47299999998722 - RAF callback, animation time: 40.723999999954685
