Warning this test is running in real-time and may be flaky.
FAIL - "left" property for "box" element at 0.25s expected: 200 but saw: 278.156005859375

Log:
212.30399992782623 - runAnimationTest
214.30999995209277 - First webkitAnimationStart event fired
214.41499993670732 - Finished waiting for animations to start
214.553999947384 - RAF callback, animation time: 0.11100003030151129
214.67299992218614 - RAF callback, animation time: 0.24399999529123306
215.28899995610118 - RAF callback, animation time: 0.8639999432489276
216.37299994472414 - RAF callback, animation time: 1.9489999394863844
217.60700002778322 - RAF callback, animation time: 3.1820000149309635
218.6770000262186 - RAF callback, animation time: 4.252000013366342
219.81099992990494 - RAF callback, animation time: 5.382000003010035
220.934999990277 - RAF callback, animation time: 6.510999985039234
222.1499999286607 - RAF callback, animation time: 7.725000032223761
223.3299999497831 - RAF callback, animation time: 8.904999936930835
224.5679999468848 - RAF callback, animation time: 10.138000012375414
225.73299997020513 - RAF callback, animation time: 11.307999957352877
227.01099992264062 - RAF callback, animation time: 12.587000033818185
228.2059999415651 - RAF callback, animation time: 13.781999936327338
229.35799998231232 - RAF callback, animation time: 14.933999977074564
230.5739999283105 - RAF callback, animation time: 16.149000031873584
231.85899993404746 - RAF callback, animation time: 17.43100001476705
233.03300002589822 - RAF callback, animation time: 18.608000013045967
234.21499994583428 - RAF callback, animation time: 19.789999932982028
235.55199999827892 - RAF callback, animation time: 21.099000005051494
236.77900002803653 - RAF callback, animation time: 22.35300000756979
237.96599998604506 - RAF callback, animation time: 23.54099997319281
239.06099994201213 - RAF callback, animation time: 24.6360000455752
240.2579999761656 - RAF callback, animation time: 25.833999970927835
241.437999997288 - RAF callback, animation time: 27.012999984435737
242.95799992978573 - RAF callback, animation time: 28.5330000333488
244.13799995090812 - RAF callback, animation time: 29.712999938055873
245.23799994494766 - RAF callback, animation time: 30.81299993209541
246.42199999652803 - RAF callback, animation time: 31.99799999129027
247.63699993491173 - RAF callback, animation time: 33.2120000384748
248.85999993421137 - RAF callback, animation time: 34.43400003015995
250.07900001946837 - RAF callback, animation time: 35.65199999138713
251.2649999698624 - RAF callback, animation time: 36.84099996462464
252.42999999318272 - RAF callback, animation time: 38.00499998033047
253.61899996642023 - RAF callback, animation time: 39.194999961182475
254.8149999929592 - RAF callback, animation time: 40.39099998772144
255.91199996415526 - RAF callback, animation time: 41.486999951303005
257.1079999906942 - RAF callback, animation time: 42.68399998545647
258.2779999356717 - RAF callback, animation time: 43.85300003923476
259.4169999938458 - RAF callback, animation time: 44.99299998860806
260.6130000203848 - RAF callback, animation time: 46.18800000753254
261.79499994032085 - RAF callback, animation time: 47.37099993508309
262.97299994621426 - RAF callback, animation time: 48.54799993336201
264.1809999477118 - RAF callback, animation time: 49.755999934859574
265.3990000253543 - RAF callback, animation time: 50.974000012502074
266.58699999097735 - RAF callback, animation time: 52.16299998573959
267.7939999848604 - RAF callback, animation time: 53.36899997200817
268.999999971129 - RAF callback, animation time: 54.57499995827675
270.301999989897 - RAF callback, animation time: 55.871999938972294
271.48499991744757 - RAF callback, animation time: 57.06000002101064
272.6890000049025 - RAF callback, animation time: 58.26399999205023
273.879999993369 - RAF callback, animation time: 59.455999988131225
275.0939999241382 - RAF callback, animation time: 60.66900002770126
276.21399995405227 - RAF callback, animation time: 61.78999994881451
277.42199995554984 - RAF callback, animation time: 62.996999942697585
278.6210000049323 - RAF callback, animation time: 64.19599999208003
279.7599999466911 - RAF callback, animation time: 65.33599994145334
280.96000000368804 - RAF callback, animation time: 66.53599999845028
282.1569999214262 - RAF callback, animation time: 67.73300003260374
283.33000000566244 - RAF callback, animation time: 68.90600000042468
284.4620000105351 - RAF callback, animation time: 70.03699999768287
285.64999997615814 - RAF callback, animation time: 71.22599997092038
286.9359999895096 - RAF callback, animation time: 72.5030000321567
288.1869999691844 - RAF callback, animation time: 73.7580000422895
289.3289999337867 - RAF callback, animation time: 74.90400003734976
290.5330000212416 - RAF callback, animation time: 76.10800000838935
291.7329999618232 - RAF callback, animation time: 77.30899995658547
